Title,Link,Review
Not Others,https://mydramalist.com/731681-namnam,"a pretty progressive drama feat. topics like teen pregnancy, sex positive, sex toys, masturbation, chosen family, a gay couple, etc. had some funny moments, but the mystery was very obvious from the beginning and dragged on, plus the mother-daughter could be kind of annoying and toxic at times. the daughter’s love interest was cute, but i wanted more relationship moments."
Oh My Venus,https://mydramalist.com/15062-oh-my-venus,Pretty fat phobic but has some funny parts and and okay romance. It’s a light watch.
Once Upon a Small Town,https://mydramalist.com/705675-country-diary-by-chance,Super cute. Romance was very heart fluttering. Funny moments too. Short and sweet.
One Spring Night,https://mydramalist.com/32977-spring-night,Can’t say I remember much from this show other than jung Hae in is adorable and so is his son. FL is boring. Overall not memorable but I was able to watch the whole thing (I think)
Our Beloved Summer,https://mydramalist.com/694231-us-that-year,This drama is way overhyped. I obvi love V’s song for the OST tho. Wooshik’s acting is great and I found the ML so adorable. Some cute couple moments. But I didn’t really care about any of the side characters (tho I did like the manager and friend) and the love triangles felt so unnecessary. Fast forwarded through a lot the last three episodes. Felt like it should have been 12 episodes. The part where the ML admitted he was abandoned by his dad as a kid was really moving tho.
Queen of Tears,https://mydramalist.com/725367-untitled-park-ji-eun-project,this show started off funny and interesting and it was fun to see the couple rekindle their relationship. but then in the middle it got really stupid. the whole plot and the character’s actions were motivated by their pride and inability to communicate and the main female lead was so boring. i fast forwarded a lot of the middle parts just to see what happened in the end. the plot was long and convoluted and the show bounced between comedy and drama and sadness in a very jarring way. i just wasn’t invested in the love story. a very overhyped drama.
Reborn Rich,https://mydramalist.com/79607-youngest-son-of-a-conglomerate,this drama was super engaging and bingeable . Love a good revenge plot. The ending was not the best - it was satisfying in that he got his revenge but not satisfying in that it was due to a bunch of plot holes. Him being the one who killed Do Jun and having evidence all along but then not knowing he killed Do Jun or that Do Jun died when he becomes Do Jun didn’t make sense…also wish the ML had a real outburst at the end. He was the same level of energy for nearly the whole thing. still a good watch tho.
Record of Youth,https://mydramalist.com/52015-youth-report,Boring. No chemistry with the leads. Annoying mom. Dumb/no plot. But it’s got pretty people in it
Romance Is a Bonus Book,https://mydramalist.com/30894-romance-is-a-bonus-book,Unexpectedly cute and heartwarming office romcom. Both male leads are cute and likable and so is the unconventional FL. Also the second couple/side characters are hilarious.
Rookie Cops,https://mydramalist.com/687861-our-police-course,The romance in this was unexpectedly cute and I also got unexpectedly sad when they killed off a main character. But struggled narratively in some parts.
Run On,https://mydramalist.com/58651-run-on,"this was a drama i initially dropped when it came out in 2020/2021 and returned to years later. i remember initially thinking it was boring but upon returning to it, i love that it was so character driven and wasnt tropey. it was a surprisingly progressive drama: the male lead is a bit socially awkward and possibly on the spectrum, the female lead is very outspoken and independent, there are several gay characters and an asexual character, a femae boxer, and a divorce plot. i also liked how mature the relationships were, but they were also quite cute, but not in an infantilizing way. i liked both couples’ chemistry. the story got a little boring towards the end and the finale felt kind of rushed, but overall a nice watch."
